common_name,canonical_name,scientific_name,group,file,transparent_file,public_path
红利,Lutjanus kasmira,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_02_红利__Lutjanus_kasmira.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_02_红利_Lutjanus_kasmira.png,/species-transparent/batch_004_species_sheet_02_红利_Lutjanus_kasmira.png?v=cutfix4_20260510
公子小丑,Amphiprion ocellaris,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_03_公子小丑__Amphiprion_ocellaris.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_03_公子小丑_Amphiprion_ocellaris.png,/species-transparent/batch_004_species_sheet_03_公子小丑_Amphiprion_ocellaris.png?v=cutfix4_20260510
黄倒吊,Zebrasoma flavescens,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_04_黄倒吊__Zebrasoma_flavescens.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_04_黄倒吊_Zebrasoma_flavescens.png,/species-transparent/batch_004_species_sheet_04_黄倒吊_Zebrasoma_flavescens.png?v=cutfix4_20260510
蓝倒吊,Paracanthurus hepatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_05_蓝倒吊__Paracanthurus_hepatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_05_蓝倒吊_Paracanthurus_hepatus.png,/species-transparent/batch_004_species_sheet_05_蓝倒吊_Paracanthurus_hepatus.png?v=cutfix4_20260510
泗水玫瑰,Pterapogon kauderni,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_06_泗水玫瑰__Pterapogon_kauderni.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_06_泗水玫瑰_Pterapogon_kauderni.png,/species-transparent/batch_004_species_sheet_06_泗水玫瑰_Pterapogon_kauderni.png?v=cutfix4_20260510
长鼻狮子鱼,Pterois volitans,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_07_长鼻狮子鱼__Pterois_volitans.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_07_长鼻狮子鱼_Pterois_volitans.png,/species-transparent/batch_004_species_sheet_07_长鼻狮子鱼_Pterois_volitans.png?v=cutfix4_20260510
清道夫,Hypostomus plecostomus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_08_清道夫__Hypostomus_plecostomus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_08_清道夫_Hypostomus_plecostomus.png,/species-transparent/batch_004_species_sheet_08_清道夫_Hypostomus_plecostomus.png?v=cutfix4_20260510
大鳍鱊,Acheilognathus macropterus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_09_大鳍鱊__Acheilognathus_macropterus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_09_大鳍鱊_Acheilognathus_macropterus.png,/species-transparent/batch_004_species_sheet_09_大鳍鱊_Acheilognathus_macropterus.png?v=cutfix4_20260510
马口鱼,Opsariichthys bidens,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_10_马口鱼__Opsariichthys_bidens.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_10_马口鱼_Opsariichthys_bidens.png,/species-transparent/batch_004_species_sheet_10_马口鱼_Opsariichthys_bidens.png?v=cutfix4_20260510
方氏拟腹吸鳅,Pseudogastromyzon fangi,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_01_方氏拟腹吸鳅__Pseudogastromyzon_fangi.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_01_方氏拟腹吸鳅_Pseudogastromyzon_fangi.png,/species-transparent/batch_005_species_sheet_01_方氏拟腹吸鳅_Pseudogastromyzon_fangi.png?v=cutfix4_20260510
